Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
4.0,7.0,1.0,9147.0,1.0,3.0,130.0,1.0,19.0,1.0,5.0,5.0,130.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,11.1,0.6,2.02,1.0
1.0,39.0,1.0,9085.0,1.0,1.0,130.0,1.0,37.0,37.0,6.0,6.0,110.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,0.0,0.0,6.0,13.0,3.0,11.66666667,0.0,0.0,6.0,14.0,2.0,11.33333333,0.0,11.1,0.6,2.02,2.0
1.0,1.0,6.0,9070.0,1.0,6.0,119.0,1.0,1.0,1.0,9.0,9.0,123.2,1.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,0.0,6.0,6.0,6.0,14.16666667,0.0,0.0,6.0,8.0,6.0,13.625,0.0,10.8,1.4,1.74,3.0
2.0,39.0,1.0,9238.0,1.0,19.0,133.1,1.0,37.0,37.0,9.0,4.0,103.5,0.0,0.0,0.0,1.0,1.0,0.0,42.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,1.0
1.0,1.0,3.0,9500.0,1.0,1.0,142.0,1.0,37.0,38.0,9.0,9.0,137.3,1.0,0.0,0.0,1.0,0.0,1.0,22.0,0.0,0.0,7.0,7.0,6.0,13.9,0.0,0.0,7.0,7.0,6.0,13.9,0.0,7.6,2.6,0.32,3.0
1.0,44.0,1.0,9085.0,1.0,39.0,140.0,1.0,1.0,19.0,4.0,4.0,140.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,2.0,6.0,9.0,6.0,13.14285714,0.0,0.0,6.0,9.0,6.0,12.16666667,0.0,13.9,-0.3,0.79,3.0
1.0,17.0,2.0,9238.0,1.0,1.0,115.0,1.0,19.0,38.0,7.0,8.0,116.4,1.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,9.0,6.0,11.375,0.0,0.0,6.0,9.0,6.0,13.28571429,0.0,16.2,0.3,-0.92,3.0
1.0,17.0,1.0,9119.0,1.0,1.0,131.0,1.0,1.0,3.0,9.0,10.0,123.7,1.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0,5.0,7.0,4.0,12.0,0.0,0.0,5.0,8.0,2.0,12.5,0.0,10.8,1.4,1.74,2.0
1.0,7.0,1.0,8014.0,0.0,3.0,140.0,1.0,37.0,12.0,9.0,4.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,9.4,-0.8,-3.12,1.0
1.0,1.0,1.0,9147.0,1.0,1.0,160.0,1.0,1.0,38.0,4.0,7.0,141.5,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,5.0,10.0,3.0,10.66666667,1.0,0.0,5.0,11.0,2.0,12.5,0.0,9.4,-0.8,-3.12,1.0
1.0,43.0,1.0,9773.0,1.0,1.0,122.0,1.0,1.0,1.0,4.0,5.0,126.9,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,8.0,6.0,11.71428571,0.0,0.0,6.0,7.0,6.0,12.0,0.0,7.6,2.6,0.32,3.0
1.0,18.0,1.0,9500.0,1.0,1.0,126.0,1.0,38.0,37.0,5.0,5.0,114.8,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,8.0,8.0,7.0,14.40285714,0.0,0.0,8.0,8.0,7.0,14.40285714,0.0,10.8,1.4,1.74,3.0
1.0,39.0,1.0,9238.0,1.0,1.0,160.0,1.0,38.0,1.0,9.0,3.0,124.0,0.0,0.0,1.0,1.0,1.0,0.0,28.0,0.0,2.0,8.0,15.0,7.0,11.0,0.0,0.0,6.0,17.0,1.0,10.0,0.0,10.8,1.4,1.74,2.0
1.0,43.0,2.0,9500.0,1.0,1.0,136.0,1.0,19.0,1.0,9.0,10.0,124.1,0.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,0.0,8.0,8.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,8.0,9.4,-0.8,-3.12,2.0
1.0,53.0,1.0,9085.0,1.0,42.0,150.0,1.0,1.0,1.0,9.0,4.0,150.0,1.0,0.0,0.0,1.0,1.0,1.0,22.0,0.0,1.0,7.0,11.0,5.0,12.16666667,0.0,4.0,8.0,14.0,5.0,14.8,0.0,8.9,1.4,3.51,1.0
1.0,17.0,1.0,9130.0,1.0,1.0,138.0,1.0,2.0,19.0,2.0,6.0,126.3,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,6.0,7.0,6.0,12.83333333,1.0,0.0,6.0,8.0,6.0,13.0,0.0,8.9,1.4,3.51,2.0
1.0,18.0,3.0,9070.0,1.0,1.0,131.0,1.0,1.0,37.0,5.0,5.0,122.3,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,6.0,6.0,6.0,12.16666667,0.0,0.0,6.0,6.0,0.0,0.0,0.0,15.5,2.8,-4.06,1.0
2.0,39.0,1.0,9003.0,1.0,1.0,130.0,1.0,1.0,37.0,9.0,1.0,122.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.0,3.0,10.0,23.0,6.0,11.42857143,0.0,2.0,7.0,15.0,4.0,12.0,1.0,15.5,2.8,-4.06,1.0
4.0,43.0,1.0,9500.0,1.0,19.0,100.0,1.0,34.0,34.0,0.0,0.0,110.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,0.0,11.0,14.0,26.0,12.0,12.52608696,1.0,11.0,14.0,26.0,12.0,12.52608696,1.0,7.6,2.6,0.32,3.0
1.0,16.0,3.0,9773.0,1.0,1.0,138.0,1.0,37.0,38.0,4.0,9.0,134.2,1.0,0.0,0.0,1.0,0.0,1.0,20.0,0.0,0.0,6.0,6.0,6.0,15.0,0.0,0.0,6.0,6.0,6.0,13.0,0.0,11.1,0.6,2.02,3.0
1.0,42.0,1.0,9500.0,1.0,1.0,100.0,1.0,37.0,37.0,7.0,9.0,100.0,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,8.0,8.0,7.0,13.05857143,0.0,0.0,8.0,8.0,7.0,13.05857143,0.0,10.8,1.4,1.74,3.0
